word,antonym,relation,cosine_similarity
ascending,descending,antonym,0.8146162033081055
centralized,decentralized,antonym,0.6135798096656799
reasonable,unreasonable,antonym,0.6966521739959717
simple,complex,antonym,0.4691603183746338
legible,illegible,antonym,0.4611576199531555
reduced,increased,antonym,0.3849772810935974
objective,subjective,antonym,0.480209082365036
disagreeable,agreeable,antonym,0.7808147668838501
illogical,logical,antonym,0.5701582431793213
unrealistic,realistic,antonym,0.6127908825874329
generous,stingy,antonym,0.3095400333404541
useless,useful,antonym,0.735852837562561
suppressed,publicized,antonym,0.3614617586135864
sensible,unreasonable,antonym,0.42527633905410767
broad,narrow,antonym,0.7010180354118347
insane,sane,antonym,0.4467041790485382
virtuous,wicked,antonym,0.29634636640548706
unstable,stable,antonym,0.8767192363739014
probable,improbable,antonym,0.5455367565155029
considerate,inconsiderate,antonym,0.38944071531295776
finite,infinite,antonym,0.7670456171035767
unbalanced,balanced,antonym,0.7246251702308655
symmetric,asymmetrical,antonym,0.46729403734207153
decreasing,increasing,antonym,0.7252304553985596
nascent,dying,antonym,0.17035937309265137
unsuccessful,successful,antonym,0.6552538871765137
profound,superficial,antonym,0.28817740082740784
loveable,hateful,antonym,0.4328952133655548
powerless,powerful,antonym,0.5107522010803223
unholy,holy,antonym,0.20753762125968933
invulnerable,vulnerable,antonym,0.5714688301086426
covert,overt,antonym,0.2712804079055786
inconvenient,convenient,antonym,0.4052913784980774
practical,impractical,antonym,0.37154197692871094
inaccurate,accurate,antonym,0.7419415712356567
liked,disliked,antonym,0.5898705124855042
efficient,inefficient,antonym,0.6699653267860413
joyful,sorrowful,antonym,0.6164212226867676
reversible,irreversible,antonym,0.6598359942436218
violent,nonviolent,antonym,0.5224355459213257
more,less,antonym,0.6406391859054565
irresponsible,responsible,antonym,0.5772789716720581
aware,unaware,antonym,0.7512806057929993
tolerable,intolerable,antonym,0.8453856110572815
authorized,unauthorized,antonym,0.64933180809021
disrespectful,respectful,antonym,0.5905172228813171
lost,found,antonym,0.25771695375442505
united,divided,antonym,0.3060399293899536
hopeful,hopeless,antonym,0.44315117597579956
unfaithful,faithful,antonym,0.5592262744903564
intense,mild,antonym,0.40362176299095154
eventful,uneventful,antonym,0.28058922290802
ungrateful,grateful,antonym,0.32390114665031433
legal,illegal,antonym,0.8335223197937012
unusual,usual,antonym,0.4609600305557251
near,far,antonym,0.47052037715911865
unselfish,selfish,antonym,0.3988001346588135
infrequent,frequent,antonym,0.48312270641326904
dependent,independent,antonym,0.6547023057937622
public,private,antonym,0.6689484119415283
gradual,sudden,antonym,0.3533034324645996
inconsistent,consistent,antonym,0.8476693034172058
infertile,fertile,antonym,0.5999310612678528
curable,incurable,antonym,0.6487361192703247
sufficient,insufficient,antonym,0.5979966521263123
rational,irrational,antonym,0.7972036004066467
merciless,merciful,antonym,0.3573858141899109
polite,impolite,antonym,0.4855731129646301
dejected,elated,antonym,0.20186209678649902
symmetrical,asymmetrical,antonym,0.5889214277267456
impatient,patient,antonym,0.4628738760948181
awake,asleep,antonym,0.7882871627807617
incredible,credible,antonym,0.28350865840911865
brave,cowardly,antonym,0.6019007563591003
precise,imprecise,antonym,0.42306411266326904
decentralised,centralized,antonym,0.5757710337638855
docile,stubborn,antonym,0.24152062833309174
displeased,pleased,antonym,0.1785479635000229
worrisome,reassuring,antonym,0.4239126443862915
edible,inedible,antonym,0.3370967507362366
cheap,expensive,antonym,0.80241858959198
inaudible,audible,antonym,0.4234837293624878
incapable,capable,antonym,0.6671284437179565
fit,unfit,antonym,0.4363737106323242
unorganized,organized,antonym,0.5470646619796753
explicit,implicit,antonym,0.5907495021820068
possible,impossible,antonym,0.6282016038894653
unproductive,productive,antonym,0.6087740659713745
insensitive,sensitive,antonym,0.5603103637695312
illiterate,literate,antonym,0.656170129776001
destructive,constructive,antonym,0.44598057866096497
unborn,born,antonym,0.616578221321106
amicable,hostile,antonym,0.3021969199180603
wide,narrow,antonym,0.8234716653823853
perfect,imperfect,antonym,0.4088000953197479
ample,meager,antonym,0.27400991320610046
equal,unequal,antonym,0.61281418800354
optional,obligatory,antonym,0.619637131690979
courageous,cowardly,antonym,0.5998204350471497
sighted,blind,antonym,0.7102032899856567
unbearable,tolerable,antonym,0.46615543961524963
immature,mature,antonym,0.795159101486206
pessimistic,optimistic,antonym,0.592100977897644
intolerant,tolerant,antonym,0.5352950096130371
careless,careful,antonym,0.3276060223579407
unmoved,moved,antonym,0.36125481128692627
meaningless,meaningful,antonym,0.7069359421730042
hateful,lovable,antonym,0.36016929149627686
unpaid,paid,antonym,0.6452990770339966
smart,stupid,antonym,0.49198055267333984
innocent,guilty,antonym,0.6583539247512817
