category,a,b,c,d
plurale,river,rivers,science,sciences
plurale,science,sciences,song,songs
plurale,song,songs,street,streets
plurale,street,streets,student,students
plurale,student,students,category,categories
plurale,category,categories,century,centuries
plurale,century,centuries,child,children
plurale,child,children,city,cities
plurale,city,cities,community,communities
plurale,community,communities,river,rivers
genere,actor,actress,groom,bride
genere,groom,bride,father,mother
genere,father,mother,king,queen
genere,king,queen,nephew,niece
genere,nephew,niece,sir,madam
genere,sir,madam,waiter,waitress
genere,waiter,waitress,prince,princess
genere,prince,princess,duke,duchess
genere,duke,duchess,emperor,empress
genere,emperor,empress,actor,actress
capitale_paese,abuja,nigeria,amman,jordan
capitale_paese,amman,jordan,ankara,turkey
capitale_paese,ankara,turkey,athens,greece
capitale_paese,athens,greece,baghdad,iraq
capitale_paese,baghdad,iraq,bangkok,thailand
capitale_paese,bangkok,thailand,beijing,china
capitale_paese,beijing,china,beirut,lebanon
capitale_paese,beirut,lebanon,belgrade,serbia
capitale_paese,belgrade,serbia,berlin,germany
capitale_paese,berlin,germany,abuja,nigeria
avverbi,according,accordingly,actual,actually
avverbi,actual,actually,additional,additionally
avverbi,additional,additionally,apparent,apparently
avverbi,apparent,apparently,beautiful,beautifully
avverbi,beautiful,beautifully,clinical,clinically
avverbi,clinical,clinically,creative,creatively
avverbi,creative,creatively,critical,critically
avverbi,critical,critically,cultural,culturally
avverbi,cultural,culturally,decided,decidedly
avverbi,decided,decidedly,according,accordingly
