word,antonym,relation,cosine_similarity
ascending,descending,antonym,0.7772620320320129
centralized,decentralized,antonym,0.5421067476272583
reasonable,unreasonable,antonym,0.5922346115112305
simple,complex,antonym,0.23209524154663086
legible,illegible,antonym,0.21792855858802795
reduced,increased,antonym,0.19716918468475342
objective,subjective,antonym,0.3030517101287842
disagreeable,agreeable,antonym,0.7239087820053101
illogical,logical,antonym,0.4141242802143097
unrealistic,realistic,antonym,0.4961246848106384
generous,stingy,antonym,0.022408179938793182
useless,useful,antonym,0.6445471048355103
suppressed,publicized,antonym,0.13997361063957214
sensible,unreasonable,antonym,0.20430907607078552
broad,narrow,antonym,0.5847935676574707
insane,sane,antonym,0.2792154550552368
virtuous,wicked,antonym,0.06169341877102852
unstable,stable,antonym,0.8326410055160522
probable,improbable,antonym,0.3887374997138977
considerate,inconsiderate,antonym,0.203640416264534
finite,infinite,antonym,0.6985971927642822
unbalanced,balanced,antonym,0.6224133968353271
symmetric,asymmetrical,antonym,0.3678457736968994
decreasing,increasing,antonym,0.6681727766990662
nascent,dying,antonym,-0.09219461679458618
unsuccessful,successful,antonym,0.5335367918014526
profound,superficial,antonym,0.05976416915655136
loveable,hateful,antonym,0.1901928037405014
powerless,powerful,antonym,0.27972835302352905
unholy,holy,antonym,-0.06567026674747467
invulnerable,vulnerable,antonym,0.45275720953941345
covert,overt,antonym,0.050874657928943634
inconvenient,convenient,antonym,0.21008282899856567
practical,impractical,antonym,0.17877668142318726
inaccurate,accurate,antonym,0.6337620615959167
liked,disliked,antonym,0.4264928102493286
efficient,inefficient,antonym,0.5598835349082947
joyful,sorrowful,antonym,0.4728013873100281
reversible,irreversible,antonym,0.5588998794555664
violent,nonviolent,antonym,0.35773327946662903
more,less,antonym,0.5459585785865784
irresponsible,responsible,antonym,0.4551449418067932
aware,unaware,antonym,0.6793414354324341
tolerable,intolerable,antonym,0.7795693874359131
authorized,unauthorized,antonym,0.5866165161132812
disrespectful,respectful,antonym,0.42952412366867065
lost,found,antonym,0.04286141321063042
united,divided,antonym,0.13954921066761017
hopeful,hopeless,antonym,0.23018401861190796
unfaithful,faithful,antonym,0.3771722912788391
intense,mild,antonym,0.1438601016998291
eventful,uneventful,antonym,-0.017337605357170105
ungrateful,grateful,antonym,0.1083381325006485
legal,illegal,antonym,0.7807774543762207
unusual,usual,antonym,0.29699426889419556
near,far,antonym,0.32584211230278015
unselfish,selfish,antonym,0.2065494954586029
infrequent,frequent,antonym,0.30407506227493286
dependent,independent,antonym,0.5578489899635315
public,private,antonym,0.568811297416687
gradual,sudden,antonym,0.13964246213436127
inconsistent,consistent,antonym,0.7926855087280273
infertile,fertile,antonym,0.5363313555717468
curable,incurable,antonym,0.5276648998260498
sufficient,insufficient,antonym,0.4586866796016693
rational,irrational,antonym,0.7389767169952393
merciless,merciful,antonym,0.1951128989458084
polite,impolite,antonym,0.2539699077606201
dejected,elated,antonym,-0.04998837038874626
symmetrical,asymmetrical,antonym,0.5081171989440918
impatient,patient,antonym,0.23494242131710052
awake,asleep,antonym,0.712689995765686
incredible,credible,antonym,0.00937625765800476
brave,cowardly,antonym,0.46776267886161804
precise,imprecise,antonym,0.18029674887657166
decentralised,centralized,antonym,0.4930577874183655
docile,stubborn,antonym,0.007524043321609497
displeased,pleased,antonym,-0.08648170530796051
worrisome,reassuring,antonym,0.25945302844047546
edible,inedible,antonym,0.054265230894088745
cheap,expensive,antonym,0.7526160478591919
inaudible,audible,antonym,0.27626389265060425
incapable,capable,antonym,0.5200170278549194
fit,unfit,antonym,0.21807681024074554
unorganized,organized,antonym,0.3868389129638672
explicit,implicit,antonym,0.48747459053993225
possible,impossible,antonym,0.5070562362670898
unproductive,productive,antonym,0.45375069975852966
insensitive,sensitive,antonym,0.3873414397239685
illiterate,literate,antonym,0.5624433159828186
destructive,constructive,antonym,0.18177175521850586
unborn,born,antonym,0.46067512035369873
amicable,hostile,antonym,0.007056582719087601
wide,narrow,antonym,0.764726996421814
perfect,imperfect,antonym,0.169096440076828
ample,meager,antonym,0.041283659636974335
equal,unequal,antonym,0.46826013922691345
optional,obligatory,antonym,0.4686444401741028
courageous,cowardly,antonym,0.4594564437866211
sighted,blind,antonym,0.6000131964683533
unbearable,tolerable,antonym,0.23742219805717468
immature,mature,antonym,0.7333858013153076
pessimistic,optimistic,antonym,0.48426735401153564
intolerant,tolerant,antonym,0.3904859125614166
careless,careful,antonym,0.08500002324581146
unmoved,moved,antonym,0.13218338787555695
meaningless,meaningful,antonym,0.6015007495880127
hateful,lovable,antonym,0.0668221190571785
unpaid,paid,antonym,0.5281334519386292
smart,stupid,antonym,0.3202333152294159
innocent,guilty,antonym,0.5207343101501465
