word,synonym,relation,cosine_similarity
revolved,rotated,synonym,0.23673391342163086
ghastly,macabre,synonym,0.03801837936043739
dodgy,dicey,synonym,0.18070127069950104
biweekly,fortnightly,synonym,0.2443743348121643
pouring,gushing,synonym,0.4157308340072632
sceptical,doubting,synonym,0.43513619899749756
superimposed,overlying,synonym,0.19633030891418457
depicted,portrayed,synonym,0.5835983753204346
circular,round,synonym,0.4630846381187439
vivid,lifelike,synonym,0.11657103896141052
implemented,enforced,synonym,0.36054500937461853
subversive,insurgent,synonym,0.04744928330183029
demonic,satanic,synonym,0.5634194612503052
desirous,wishful,synonym,-0.03498994559049606
unwavering,steadfast,synonym,0.05990545079112053
firstborn,eldest,synonym,0.38541123270988464
fierce,ferocious,synonym,0.6594495177268982
uptight,edgy,synonym,0.061148256063461304
headlong,hasty,synonym,0.1066371351480484
captivated,charmed,synonym,-0.039293743669986725
incisive,penetrating,synonym,-0.10443450510501862
resonant,resounding,synonym,0.3425900340080261
wee,bitty,synonym,0.191640704870224
credible,believable,synonym,0.3659873604774475
reinforced,strengthened,synonym,0.6413644552230835
outmoded,passe,synonym,0.002972416579723358
fascinating,gripping,synonym,0.06760365515947342
annoying,galling,synonym,-0.02969750016927719
noted,famed,synonym,0.1477261781692505
disguised,masked,synonym,0.4643856883049011
ruinous,catastrophic,synonym,0.146379753947258
groundless,unfounded,synonym,0.1033601462841034
clothed,clad,synonym,0.3133719563484192
weird,uncanny,synonym,0.115130215883255
healing,therapeutic,synonym,0.4896540939807892
aghast,appalled,synonym,0.03193813934922218
neglected,ignored,synonym,0.6008825302124023
loathsome,nauseating,synonym,0.22234699130058289
sedate,staid,synonym,0.0854707881808281
angered,enraged,synonym,0.6698929071426392
twilight,dusky,synonym,0.29510697722435
frugal,sparing,synonym,0.04977064207196236
underweight,scrawny,synonym,0.36320406198501587
thrilling,electrifying,synonym,0.12116198241710663
illustrious,famous,synonym,0.1907637119293213
unforeseen,unanticipated,synonym,0.30614975094795227
amalgamated,fused,synonym,0.3173061013221741
toiling,labouring,synonym,0.23398500680923462
baseless,unfounded,synonym,0.26691097021102905
bracing,refreshing,synonym,0.008028775453567505
intrepid,dauntless,synonym,0.1008375883102417
ineffective,ineffectual,synonym,-0.04021944850683212
skilful,expert,synonym,-0.05307604745030403
amok,berserk,synonym,0.42269623279571533
kindred,akin,synonym,0.08079047501087189
squalid,sordid,synonym,0.09757141768932343
flagging,drooping,synonym,-0.04912527650594711
vengeful,vindictive,synonym,0.132987380027771
nonsensical,preposterous,synonym,0.1380363404750824
obstinate,stubborn,synonym,0.18827858567237854
archetypal,prototypical,synonym,0.4312456250190735
nautical,maritime,synonym,0.7645372152328491
detrimental,damaging,synonym,0.45538774132728577
dizzy,giddy,synonym,0.07335168123245239
unavoidable,inescapable,synonym,0.2580190896987915
desolate,barren,synonym,0.35332393646240234
dreadful,horrendous,synonym,0.2468789964914322
marooned,stranded,synonym,0.3017053008079529
disgruntled,dissatisfied,synonym,0.24028249084949493
puzzling,enigmatic,synonym,0.16723807156085968
infertile,sterile,synonym,0.3691066801548004
faithless,traitorous,synonym,0.16285490989685059
deserved,merited,synonym,0.3660714030265808
exhausting,draining,synonym,0.34600338339805603
goofy,silly,synonym,0.24084119498729706
flustered,perturbed,synonym,-0.056329064071178436
burdensome,taxing,synonym,0.06222473084926605
unrivalled,peerless,synonym,0.006424183025956154
tilted,leaning,synonym,0.5442526340484619
baffled,bewildered,synonym,0.44802019000053406
labored,strained,synonym,0.06146048754453659
dirty,soiled,synonym,0.2584843933582306
sensible,reasonable,synonym,0.4372980296611786
everlasting,eternal,synonym,0.5519154071807861
flourishing,prospering,synonym,0.43719714879989624
colossal,stupendous,synonym,0.024116087704896927
cloaked,masked,synonym,0.4333258867263794
drunken,boozy,synonym,0.13354408740997314
discouraged,disheartened,synonym,-0.04267045110464096
evoked,elicited,synonym,0.1293724775314331
shouted,yelled,synonym,0.7422002553939819
striking,spectacular,synonym,0.13953594863414764
extended,prolonged,synonym,0.2774970233440399
disgraceful,scandalous,synonym,0.4528326094150543
coveted,desired,synonym,0.2820359170436859
razed,demolished,synonym,0.3467780649662018
unclean,soiled,synonym,0.053173087537288666
snide,sneering,synonym,0.21234574913978577
branched,forked,synonym,0.16128608584403992
resettled,relocated,synonym,0.2856256067752838
impregnable,unassailable,synonym,0.29014861583709717
implanted,ingrained,synonym,0.08262819796800613
rejoicing,jubilant,synonym,0.0892980694770813
dreary,drab,synonym,0.4729480445384979
enthralling,captivating,synonym,0.0017269179224967957
tart,tangy,synonym,0.12594786286354065
agitating,provoking,synonym,0.3584984838962555
concluded,ended,synonym,0.48384472727775574
enamored,infatuated,synonym,0.4470503330230713
hardworking,industrious,synonym,0.286499559879303
alluring,beguiling,synonym,0.07707542181015015
