word,synonym,relation,cosine_similarity
revolved,rotated,synonym,0.519023597240448
ghastly,macabre,synonym,-0.06039254367351532
dodgy,dicey,synonym,0.5309914350509644
biweekly,fortnightly,synonym,0.46865546703338623
pouring,gushing,synonym,0.6813324689865112
sceptical,doubting,synonym,0.8491454124450684
superimposed,overlying,synonym,0.7300111651420593
depicted,portrayed,synonym,0.8868203163146973
circular,round,synonym,0.02132853865623474
vivid,lifelike,synonym,0.8581926822662354
implemented,enforced,synonym,0.7113498449325562
subversive,insurgent,synonym,0.5994066596031189
demonic,satanic,synonym,0.8641318678855896
desirous,wishful,synonym,-0.021775364875793457
unwavering,steadfast,synonym,0.820978045463562
firstborn,eldest,synonym,0.5396745204925537
fierce,ferocious,synonym,0.7097512483596802
uptight,edgy,synonym,0.39310216903686523
headlong,hasty,synonym,0.4590333104133606
captivated,charmed,synonym,0.07269294559955597
incisive,penetrating,synonym,0.6663615107536316
resonant,resounding,synonym,0.5603365302085876
wee,bitty,synonym,0.3078521192073822
credible,believable,synonym,0.8233197927474976
reinforced,strengthened,synonym,0.8030487298965454
outmoded,passe,synonym,-0.20764821767807007
fascinating,gripping,synonym,0.2878039479255676
annoying,galling,synonym,0.4030531942844391
noted,famed,synonym,-0.3437761068344116
disguised,masked,synonym,0.6324218511581421
ruinous,catastrophic,synonym,0.5626399517059326
groundless,unfounded,synonym,0.39452260732650757
clothed,clad,synonym,-0.4117891788482666
weird,uncanny,synonym,0.31925100088119507
healing,therapeutic,synonym,0.6416640281677246
aghast,appalled,synonym,0.06025983393192291
neglected,ignored,synonym,0.8960514068603516
loathsome,nauseating,synonym,0.7252864837646484
sedate,staid,synonym,-0.10698649287223816
angered,enraged,synonym,0.9503066539764404
twilight,dusky,synonym,0.4961579740047455
frugal,sparing,synonym,0.4258270561695099
underweight,scrawny,synonym,0.2733089327812195
thrilling,electrifying,synonym,0.8018827438354492
illustrious,famous,synonym,0.5176140069961548
unforeseen,unanticipated,synonym,0.82440185546875
amalgamated,fused,synonym,0.22675958275794983
toiling,labouring,synonym,0.7557662725448608
baseless,unfounded,synonym,0.8433896899223328
bracing,refreshing,synonym,0.028444260358810425
intrepid,dauntless,synonym,-0.48169854283332825
ineffective,ineffectual,synonym,0.8102439641952515
skilful,expert,synonym,-0.46652689576148987
amok,berserk,synonym,0.4663137197494507
kindred,akin,synonym,-0.07549500465393066
squalid,sordid,synonym,0.2620011568069458
flagging,drooping,synonym,0.5156921148300171
vengeful,vindictive,synonym,0.703091025352478
nonsensical,preposterous,synonym,0.673060417175293
obstinate,stubborn,synonym,0.6550320386886597
archetypal,prototypical,synonym,0.690769612789154
nautical,maritime,synonym,0.8061456084251404
detrimental,damaging,synonym,0.8136706948280334
dizzy,giddy,synonym,0.7789806127548218
unavoidable,inescapable,synonym,0.6219998002052307
desolate,barren,synonym,0.7467349767684937
dreadful,horrendous,synonym,0.8275163769721985
marooned,stranded,synonym,0.5066337585449219
disgruntled,dissatisfied,synonym,0.5985848903656006
puzzling,enigmatic,synonym,0.5165938138961792
infertile,sterile,synonym,0.9572354555130005
faithless,traitorous,synonym,0.8275485038757324
deserved,merited,synonym,0.576405942440033
exhausting,draining,synonym,0.7676255702972412
goofy,silly,synonym,0.7762067317962646
flustered,perturbed,synonym,0.09330987930297852
burdensome,taxing,synonym,0.41107064485549927
unrivalled,peerless,synonym,0.375194251537323
tilted,leaning,synonym,0.025924652814865112
baffled,bewildered,synonym,0.8231794834136963
labored,strained,synonym,0.477522611618042
dirty,soiled,synonym,0.3493823707103729
sensible,reasonable,synonym,0.9013147354125977
everlasting,eternal,synonym,0.8124351501464844
flourishing,prospering,synonym,0.6778631210327148
colossal,stupendous,synonym,0.44319024682044983
cloaked,masked,synonym,0.3167746663093567
drunken,boozy,synonym,0.7375979423522949
discouraged,disheartened,synonym,0.4596175253391266
evoked,elicited,synonym,0.37168994545936584
shouted,yelled,synonym,0.8478598594665527
striking,spectacular,synonym,0.45432016253471375
extended,prolonged,synonym,0.22365814447402954
disgraceful,scandalous,synonym,0.9359243512153625
coveted,desired,synonym,0.5637276768684387
razed,demolished,synonym,0.7864515781402588
unclean,soiled,synonym,0.47714564204216003
snide,sneering,synonym,0.36766260862350464
branched,forked,synonym,0.41124585270881653
resettled,relocated,synonym,0.4475245475769043
impregnable,unassailable,synonym,0.8077381253242493
implanted,ingrained,synonym,0.786005973815918
rejoicing,jubilant,synonym,0.02177107334136963
dreary,drab,synonym,0.4253727197647095
enthralling,captivating,synonym,0.4587711989879608
tart,tangy,synonym,0.07116925716400146
agitating,provoking,synonym,0.8858695030212402
concluded,ended,synonym,0.7098331451416016
enamored,infatuated,synonym,0.685400664806366
hardworking,industrious,synonym,0.5010358095169067
alluring,beguiling,synonym,0.27378690242767334
