word1,word2,taxonomic_distance,cosine_similarity,cosine_distance
vehicle,rocket,1,0.5099093317985535,0.49009066820144653
vehicle,missile,2,0.5205494165420532,0.4794505834579468
vehicle,sidewinder,3,0.47219783067703247,0.5278021693229675
vehicle,craft,1,0.7751946449279785,0.22480535507202148
vehicle,aircraft,2,0.9359899759292603,0.06401002407073975
vehicle,vessel,2,0.4294469356536865,0.5705530643463135
vehicle,galley,3,0.4867064356803894,0.5132935643196106
vehicle,ship,3,0.5845898389816284,0.4154101610183716
vehicle,yacht,3,0.4435862898826599,0.5564137101173401
vehicle,boat,3,0.45298317074775696,0.547016829252243
vehicle,hovercraft,2,0.35490453243255615,0.6450954675674438
vehicle,spacecraft,2,0.6963329315185547,0.3036670684814453
vehicle,starship,3,0.565491795539856,0.43450820446014404
vehicle,lander,3,0.04018715023994446,0.9598128497600555
vehicle,steamroller,1,0.3462780714035034,0.6537219285964966
vehicle,sled,1,0.13287924230098724,0.8671207576990128
vehicle,bobsled,2,-0.05065767839550972,1.0506576783955097
vehicle,luge,2,-0.06850099563598633,1.0685009956359863
vehicle,toboggan,2,0.06235991418361664,0.9376400858163834
rocket,missile,1,0.7937511205673218,0.20624887943267822
rocket,sidewinder,2,0.4415140450000763,0.5584859549999237
rocket,craft,2,0.4315270185470581,0.5684729814529419
rocket,aircraft,3,0.5378628969192505,0.4621371030807495
rocket,vessel,3,0.2932188808917999,0.7067811191082001
rocket,galley,4,0.20262682437896729,0.7973731756210327
rocket,ship,4,0.2014053910970688,0.7985946089029312
rocket,yacht,4,0.065919890999794,0.934080109000206
rocket,boat,4,0.5340160131454468,0.4659839868545532
rocket,hovercraft,3,0.6428322792053223,0.35716772079467773
rocket,spacecraft,3,0.4427569508552551,0.5572430491447449
rocket,starship,4,0.6780920028686523,0.32190799713134766
rocket,lander,4,0.20460861921310425,0.7953913807868958
rocket,steamroller,2,0.5248680710792542,0.47513192892074585
rocket,sled,2,0.39150169491767883,0.6084983050823212
rocket,bobsled,3,0.379976749420166,0.620023250579834
rocket,luge,3,0.2995694577693939,0.7004305422306061
rocket,toboggan,3,0.5733935832977295,0.4266064167022705
missile,sidewinder,1,0.36699116230010986,0.6330088376998901
missile,craft,3,0.5123967528343201,0.48760324716567993
missile,aircraft,4,0.6037867069244385,0.3962132930755615
missile,vessel,4,0.22313445806503296,0.776865541934967
missile,galley,5,0.27365216612815857,0.7263478338718414
missile,ship,5,0.06944546103477478,0.9305545389652252
missile,yacht,5,0.2074170857667923,0.7925829142332077
missile,boat,5,0.5037916898727417,0.4962083101272583
missile,hovercraft,4,0.5044775009155273,0.49552249908447266
missile,spacecraft,4,0.5192772746086121,0.48072272539138794
missile,starship,5,0.29943934082984924,0.7005606591701508
missile,lander,5,0.32188504934310913,0.6781149506568909
missile,steamroller,3,0.5693140625953674,0.43068593740463257
missile,sled,3,0.30484524369239807,0.6951547563076019
missile,bobsled,4,0.4354557991027832,0.5645442008972168
missile,luge,4,-0.030324779450893402,1.0303247794508934
missile,toboggan,4,0.6405602693557739,0.3594397306442261
sidewinder,craft,4,0.6237985491752625,0.37620145082473755
sidewinder,aircraft,5,0.45890408754348755,0.5410959124565125
sidewinder,vessel,5,0.44272369146347046,0.5572763085365295
sidewinder,galley,6,0.4462023675441742,0.5537976324558258
sidewinder,ship,6,0.26316189765930176,0.7368381023406982
sidewinder,yacht,6,0.20651723444461823,0.7934827655553818
sidewinder,boat,6,0.5567914247512817,0.44320857524871826
sidewinder,hovercraft,5,0.5777291059494019,0.42227089405059814
sidewinder,spacecraft,5,0.4520508348941803,0.5479491651058197
sidewinder,starship,6,0.6734165549278259,0.3265834450721741
sidewinder,lander,6,0.6159859895706177,0.3840140104293823
sidewinder,steamroller,4,0.8021248579025269,0.19787514209747314
sidewinder,sled,4,0.6922247409820557,0.30777525901794434
