word1,word2,taxonomic_distance
vehicle,rocket,1
vehicle,missile,2
vehicle,sidewinder,3
vehicle,craft,1
vehicle,aircraft,2
vehicle,vessel,2
vehicle,galley,3
vehicle,ship,3
vehicle,yacht,3
vehicle,boat,3
vehicle,hovercraft,2
vehicle,spacecraft,2
vehicle,starship,3
vehicle,lander,3
vehicle,steamroller,1
vehicle,sled,1
vehicle,bobsled,2
vehicle,luge,2
vehicle,toboggan,2
rocket,missile,1
rocket,sidewinder,2
rocket,craft,2
rocket,aircraft,3
rocket,vessel,3
rocket,galley,4
rocket,ship,4
rocket,yacht,4
rocket,boat,4
rocket,hovercraft,3
rocket,spacecraft,3
rocket,starship,4
rocket,lander,4
rocket,steamroller,2
rocket,sled,2
rocket,bobsled,3
rocket,luge,3
rocket,toboggan,3
missile,sidewinder,1
missile,craft,3
missile,aircraft,4
missile,vessel,4
missile,galley,5
missile,ship,5
missile,yacht,5
missile,boat,5
missile,hovercraft,4
missile,spacecraft,4
missile,starship,5
missile,lander,5
missile,steamroller,3
missile,sled,3
missile,bobsled,4
missile,luge,4
missile,toboggan,4
sidewinder,craft,4
sidewinder,aircraft,5
sidewinder,vessel,5
sidewinder,galley,6
sidewinder,ship,6
sidewinder,yacht,6
sidewinder,boat,6
sidewinder,hovercraft,5
sidewinder,spacecraft,5
sidewinder,starship,6
sidewinder,lander,6
sidewinder,steamroller,4
sidewinder,sled,4
sidewinder,bobsled,5
sidewinder,luge,5
sidewinder,toboggan,5
craft,aircraft,1
craft,vessel,1
craft,galley,2
craft,ship,2
craft,yacht,2
craft,boat,2
craft,hovercraft,1
craft,spacecraft,1
craft,starship,2
craft,lander,2
craft,steamroller,2
craft,sled,2
craft,bobsled,3
craft,luge,3
craft,toboggan,3
aircraft,vessel,2
aircraft,galley,3
aircraft,ship,3
aircraft,yacht,3
aircraft,boat,3
aircraft,hovercraft,2
aircraft,spacecraft,2
aircraft,starship,3
aircraft,lander,3
aircraft,steamroller,3
aircraft,sled,3
aircraft,bobsled,4
aircraft,luge,4
aircraft,toboggan,4
vessel,galley,1
vessel,ship,1
vessel,yacht,1
vessel,boat,1
vessel,hovercraft,2
vessel,spacecraft,2
vessel,starship,3
vessel,lander,3
vessel,steamroller,3
vessel,sled,3
vessel,bobsled,4
vessel,luge,4
vessel,toboggan,4
galley,ship,2
galley,yacht,2
galley,boat,2
galley,hovercraft,3
galley,spacecraft,3
galley,starship,4
galley,lander,4
galley,steamroller,4
galley,sled,4
galley,bobsled,5
galley,luge,5
galley,toboggan,5
ship,yacht,2
ship,boat,2
ship,hovercraft,3
ship,spacecraft,3
ship,starship,4
ship,lander,4
ship,steamroller,4
ship,sled,4
ship,bobsled,5
ship,luge,5
ship,toboggan,5
yacht,boat,2
yacht,hovercraft,3
yacht,spacecraft,3
yacht,starship,4
yacht,lander,4
yacht,steamroller,4
yacht,sled,4
yacht,bobsled,5
yacht,luge,5
yacht,toboggan,5
boat,hovercraft,3
boat,spacecraft,3
boat,starship,4
boat,lander,4
boat,steamroller,4
boat,sled,4
boat,bobsled,5
boat,luge,5
boat,toboggan,5
hovercraft,spacecraft,2
hovercraft,starship,3
hovercraft,lander,3
hovercraft,steamroller,3
hovercraft,sled,3
hovercraft,bobsled,4
hovercraft,luge,4
hovercraft,toboggan,4
spacecraft,starship,1
spacecraft,lander,1
spacecraft,steamroller,3
spacecraft,sled,3
spacecraft,bobsled,4
spacecraft,luge,4
spacecraft,toboggan,4
starship,lander,2
starship,steamroller,4
starship,sled,4
starship,bobsled,5
starship,luge,5
starship,toboggan,5
lander,steamroller,4
lander,sled,4
lander,bobsled,5
lander,luge,5
lander,toboggan,5
steamroller,sled,2
steamroller,bobsled,3
steamroller,luge,3
steamroller,toboggan,3
sled,bobsled,1
sled,luge,1
sled,toboggan,1
bobsled,luge,2
bobsled,toboggan,2
luge,toboggan,2
