word,antinonym,relation
ascending,descending,antinonym
centralized,decentralized,antinonym
reasonable,unreasonable,antinonym
simple,complex,antinonym
legible,illegible,antinonym
reduced,increased,antinonym
objective,subjective,antinonym
disagreeable,agreeable,antinonym
illogical,logical,antinonym
unrealistic,realistic,antinonym
generous,stingy,antinonym
useless,useful,antinonym
suppressed,publicized,antinonym
sensible,unreasonable,antinonym
broad,narrow,antinonym
insane,sane,antinonym
virtuous,wicked,antinonym
unstable,stable,antinonym
probable,improbable,antinonym
considerate,inconsiderate,antinonym
finite,infinite,antinonym
unbalanced,balanced,antinonym
symmetric,asymmetrical,antinonym
decreasing,increasing,antinonym
nascent,dying,antinonym
unsuccessful,successful,antinonym
profound,superficial,antinonym
loveable,hateful,antinonym
powerless,powerful,antinonym
unholy,holy,antinonym
invulnerable,vulnerable,antinonym
covert,overt,antinonym
inconvenient,convenient,antinonym
practical,impractical,antinonym
inaccurate,accurate,antinonym
liked,disliked,antinonym
efficient,inefficient,antinonym
joyful,sorrowful,antinonym
reversible,irreversible,antinonym
violent,nonviolent,antinonym
more,less,antinonym
irresponsible,responsible,antinonym
aware,unaware,antinonym
tolerable,intolerable,antinonym
authorized,unauthorized,antinonym
disrespectful,respectful,antinonym
lost,found,antinonym
united,divided,antinonym
hopeful,hopeless,antinonym
unfaithful,faithful,antinonym
intense,mild,antinonym
eventful,uneventful,antinonym
ungrateful,grateful,antinonym
legal,illegal,antinonym
unusual,usual,antinonym
near,far,antinonym
unselfish,selfish,antinonym
infrequent,frequent,antinonym
dependent,independent,antinonym
public,private,antinonym
gradual,sudden,antinonym
inconsistent,consistent,antinonym
infertile,fertile,antinonym
curable,incurable,antinonym
sufficient,insufficient,antinonym
rational,irrational,antinonym
merciless,merciful,antinonym
polite,impolite,antinonym
dejected,elated,antinonym
symmetrical,asymmetrical,antinonym
impatient,patient,antinonym
awake,asleep,antinonym
incredible,credible,antinonym
brave,cowardly,antinonym
precise,imprecise,antinonym
decentralised,centralized,antinonym
docile,stubborn,antinonym
displeased,pleased,antinonym
worrisome,reassuring,antinonym
edible,inedible,antinonym
cheap,expensive,antinonym
inaudible,audible,antinonym
incapable,capable,antinonym
fit,unfit,antinonym
unorganized,organized,antinonym
explicit,implicit,antinonym
possible,impossible,antinonym
unproductive,productive,antinonym
insensitive,sensitive,antinonym
illiterate,literate,antinonym
destructive,constructive,antinonym
unborn,born,antinonym
amicable,hostile,antinonym
wide,narrow,antinonym
perfect,imperfect,antinonym
ample,meager,antinonym
equal,unequal,antinonym
optional,obligatory,antinonym
courageous,cowardly,antinonym
sighted,blind,antinonym
unbearable,tolerable,antinonym
immature,mature,antinonym
pessimistic,optimistic,antinonym
intolerant,tolerant,antinonym
careless,careful,antinonym
unmoved,moved,antinonym
meaningless,meaningful,antinonym
hateful,lovable,antinonym
unpaid,paid,antinonym
smart,stupid,antinonym
innocent,guilty,antinonym
