word,antinonym,relation
ascending,descending,antonym
centralized,decentralized,antonym
reasonable,unreasonable,antonym
simple,complex,antonym
legible,illegible,antonym
reduced,increased,antonym
objective,subjective,antonym
disagreeable,agreeable,antonym
illogical,logical,antonym
unrealistic,realistic,antonym
generous,stingy,antonym
useless,useful,antonym
suppressed,publicized,antonym
sensible,unreasonable,antonym
broad,narrow,antonym
insane,sane,antonym
virtuous,wicked,antonym
unstable,stable,antonym
probable,improbable,antonym
considerate,inconsiderate,antonym
finite,infinite,antonym
unbalanced,balanced,antonym
symmetric,asymmetrical,antonym
decreasing,increasing,antonym
nascent,dying,antonym
unsuccessful,successful,antonym
profound,superficial,antonym
loveable,hateful,antonym
powerless,powerful,antonym
unholy,holy,antonym
invulnerable,vulnerable,antonym
covert,overt,antonym
inconvenient,convenient,antonym
practical,impractical,antonym
inaccurate,accurate,antonym
liked,disliked,antonym
efficient,inefficient,antonym
joyful,sorrowful,antonym
reversible,irreversible,antonym
violent,nonviolent,antonym
more,less,antonym
irresponsible,responsible,antonym
aware,unaware,antonym
tolerable,intolerable,antonym
authorized,unauthorized,antonym
disrespectful,respectful,antonym
lost,found,antonym
united,divided,antonym
hopeful,hopeless,antonym
unfaithful,faithful,antonym
intense,mild,antonym
eventful,uneventful,antonym
ungrateful,grateful,antonym
legal,illegal,antonym
unusual,usual,antonym
near,far,antonym
unselfish,selfish,antonym
infrequent,frequent,antonym
dependent,independent,antonym
public,private,antonym
gradual,sudden,antonym
inconsistent,consistent,antonym
infertile,fertile,antonym
curable,incurable,antonym
sufficient,insufficient,antonym
rational,irrational,antonym
merciless,merciful,antonym
polite,impolite,antonym
dejected,elated,antonym
symmetrical,asymmetrical,antonym
impatient,patient,antonym
awake,asleep,antonym
incredible,credible,antonym
brave,cowardly,antonym
precise,imprecise,antonym
decentralised,centralized,antonym
docile,stubborn,antonym
displeased,pleased,antonym
worrisome,reassuring,antonym
edible,inedible,antonym
cheap,expensive,antonym
inaudible,audible,antonym
incapable,capable,antonym
fit,unfit,antonym
unorganized,organized,antonym
explicit,implicit,antonym
possible,impossible,antonym
unproductive,productive,antonym
insensitive,sensitive,antonym
illiterate,literate,antonym
destructive,constructive,antonym
unborn,born,antonym
amicable,hostile,antonym
wide,narrow,antonym
perfect,imperfect,antonym
ample,meager,antonym
equal,unequal,antonym
optional,obligatory,antonym
courageous,cowardly,antonym
sighted,blind,antonym
unbearable,tolerable,antonym
immature,mature,antonym
pessimistic,optimistic,antonym
intolerant,tolerant,antonym
careless,careful,antonym
unmoved,moved,antonym
meaningless,meaningful,antonym
hateful,lovable,antonym
unpaid,paid,antonym
smart,stupid,antonym
innocent,guilty,antonym
