word,synonym,relation,cosine_similarity
revolved,rotated,synonym,0.39723169803619385
ghastly,macabre,synonym,0.2511903643608093
dodgy,dicey,synonym,0.3896896243095398
biweekly,fortnightly,synonym,0.37881654500961304
pouring,gushing,synonym,0.52262282371521
sceptical,doubting,synonym,0.5664491653442383
superimposed,overlying,synonym,0.39706435799598694
depicted,portrayed,synonym,0.6930744647979736
circular,round,synonym,0.5746160745620728
vivid,lifelike,synonym,0.3538317084312439
implemented,enforced,synonym,0.5241492986679077
subversive,insurgent,synonym,0.22901055216789246
demonic,satanic,synonym,0.665651798248291
desirous,wishful,synonym,0.21722963452339172
unwavering,steadfast,synonym,0.28690826892852783
firstborn,eldest,synonym,0.4770556092262268
fierce,ferocious,synonym,0.7626831531524658
uptight,edgy,synonym,0.28609466552734375
headlong,hasty,synonym,0.34550952911376953
captivated,charmed,synonym,0.14927323162555695
incisive,penetrating,synonym,0.1863156408071518
resonant,resounding,synonym,0.5328070521354675
wee,bitty,synonym,0.3758210837841034
credible,believable,synonym,0.526423454284668
reinforced,strengthened,synonym,0.7202517986297607
outmoded,passe,synonym,0.24862004816532135
fascinating,gripping,synonym,0.30338138341903687
annoying,galling,synonym,0.22646509110927582
noted,famed,synonym,0.3014295697212219
disguised,masked,synonym,0.5854458212852478
ruinous,catastrophic,synonym,0.40504270792007446
groundless,unfounded,synonym,0.3002399802207947
clothed,clad,synonym,0.4544043242931366
weird,uncanny,synonym,0.28040385246276855
healing,therapeutic,synonym,0.6051113605499268
aghast,appalled,synonym,0.2720481753349304
neglected,ignored,synonym,0.6965919137001038
loathsome,nauseating,synonym,0.41742315888404846
sedate,staid,synonym,0.2743653655052185
angered,enraged,synonym,0.7646517753601074
twilight,dusky,synonym,0.4615848660469055
frugal,sparing,synonym,0.252809077501297
underweight,scrawny,synonym,0.4834384024143219
thrilling,electrifying,synonym,0.3396173417568207
illustrious,famous,synonym,0.3616437315940857
unforeseen,unanticipated,synonym,0.48818057775497437
amalgamated,fused,synonym,0.5020656585693359
toiling,labouring,synonym,0.41872525215148926
baseless,unfounded,synonym,0.444149374961853
bracing,refreshing,synonym,0.2243945598602295
intrepid,dauntless,synonym,0.28602510690689087
ineffective,ineffectual,synonym,0.23404689133167267
skilful,expert,synonym,0.17417645454406738
amok,berserk,synonym,0.5181909203529358
kindred,akin,synonym,0.2947906255722046
squalid,sordid,synonym,0.272466778755188
flagging,drooping,synonym,0.11919204890727997
vengeful,vindictive,synonym,0.38382798433303833
nonsensical,preposterous,synonym,0.3530840277671814
obstinate,stubborn,synonym,0.3947952389717102
archetypal,prototypical,synonym,0.5223486423492432
nautical,maritime,synonym,0.8006070852279663
detrimental,damaging,synonym,0.6155054569244385
dizzy,giddy,synonym,0.281062513589859
unavoidable,inescapable,synonym,0.45850443840026855
desolate,barren,synonym,0.5061691999435425
dreadful,horrendous,synonym,0.4578763246536255
marooned,stranded,synonym,0.4651795029640198
disgruntled,dissatisfied,synonym,0.4737309515476227
puzzling,enigmatic,synonym,0.37916091084480286
infertile,sterile,synonym,0.46770066022872925
faithless,traitorous,synonym,0.38046377897262573
deserved,merited,synonym,0.5347086191177368
exhausting,draining,synonym,0.5073132514953613
goofy,silly,synonym,0.3880865275859833
flustered,perturbed,synonym,0.15760087966918945
burdensome,taxing,synonym,0.2813223600387573
unrivalled,peerless,synonym,0.2897832989692688
tilted,leaning,synonym,0.656976044178009
baffled,bewildered,synonym,0.620368480682373
labored,strained,synonym,0.3373928368091583
dirty,soiled,synonym,0.4810022711753845
sensible,reasonable,synonym,0.592632532119751
everlasting,eternal,synonym,0.6840958595275879
flourishing,prospering,synonym,0.5670986175537109
colossal,stupendous,synonym,0.21359285712242126
cloaked,masked,synonym,0.5615668296813965
drunken,boozy,synonym,0.3623252511024475
discouraged,disheartened,synonym,0.21228373050689697
evoked,elicited,synonym,0.337076336145401
shouted,yelled,synonym,0.800491452217102
striking,spectacular,synonym,0.40552884340286255
extended,prolonged,synonym,0.4711701273918152
disgraceful,scandalous,synonym,0.6206605434417725
coveted,desired,synonym,0.5039437413215637
razed,demolished,synonym,0.5279957056045532
unclean,soiled,synonym,0.3274361491203308
snide,sneering,synonym,0.32088136672973633
branched,forked,synonym,0.37854838371276855
resettled,relocated,synonym,0.4045703113079071
impregnable,unassailable,synonym,0.5031076073646545
implanted,ingrained,synonym,0.3352121114730835
rejoicing,jubilant,synonym,0.294018417596817
dreary,drab,synonym,0.6059662103652954
enthralling,captivating,synonym,0.2206244170665741
tart,tangy,synonym,0.30505484342575073
agitating,provoking,synonym,0.5037404298782349
concluded,ended,synonym,0.605624258518219
enamored,infatuated,synonym,0.609135627746582
hardworking,industrious,synonym,0.45569121837615967
alluring,beguiling,synonym,0.29120394587516785
